polity,start_date,end_date
484,1960-08-15,2016-12-31
490,1960-06-30,2016-12-31
500,1962-10-09,2016-12-31
501,1963-12-12,2016-12-31
510,1961-12-09,2016-12-31
511,1963-12-19,1964-04-26
516,1962-07-01,2016-12-31
517,1962-07-01,2016-12-31
520,1960-07-01,2016-12-31
522,1977-06-27,2016-12-31
530,1898-01-01,1936-05-05
530,1941-05-05,2016-12-31
531,1993-05-24,2016-12-31
540,1975-11-11,2016-12-31
541,1975-06-25,2016-12-31
551,1964-10-24,2016-12-31
552,1965-11-11,2016-12-31
553,1964-07-06,2016-12-31
560,1920-01-10,2016-12-31
565,1990-03-21,2016-12-31
570,1966-10-04,2016-12-31
571,1966-09-30,2016-12-31
572,1968-09-06,2016-12-31
580,1960-06-26,2016-12-31
581,1975-12-31,2016-12-31
590,1968-03-12,2016-12-31
591,1976-06-29,2016-12-31
600,1847-01-01,1912-03-30
600,1956-03-02,2016-12-31
615,1962-07-05,2016-12-31
616,1825-01-01,1881-05-12
616,1956-03-20,2016-12-31
620,1951-12-24,2016-12-31
625,1956-01-01,2016-12-31
626,2011-07-09,2016-12-31
630,1855-01-01,2016-12-31
640,1816-01-01,2016-12-31
645,1932-10-03,2016-12-31
651,1855-01-01,1882-09-15
651,1937-05-26,2016-12-31
652,1946-04-17,1958-02-01
652,1961-09-29,2016-12-31
660,1946-03-10,2016-12-31
663,1946-03-22,2016-12-31
666,1948-05-14,2016-12-31
670,1927-05-20,2016-12-31
678,1926-09-02,1990-05-21
679,1990-05-22,2016-12-31
680,1967-11-30,1990-05-21
690,1961-06-19,2016-12-31
692,1971-08-15,2016-12-31
694,1971-09-03,2016-12-31
696,1971-12-02,2016-12-31
698,1971-10-07,2016-12-31
700,1919-08-08,2016-12-31
701,1991-12-26,2016-12-31
702,1991-12-26,2016-12-31
703,1991-12-26,2016-12-31
704,1991-12-26,2016-12-31
705,1991-12-26,2016-12-31
710,1860-10-25,2016-12-31
712,1921-03-13,2016-12-31
713,1949-12-08,2016-12-31
730,1887-01-01,1905-11-17
731,1948-09-09,2016-12-31
732,1949-06-29,2016-12-31
740,1860-01-01,1945-08-14
740,1952-04-28,2016-12-31
750,1947-08-15,2016-12-31
760,1971-09-21,2016-12-31
770,1947-08-14,2016-12-31
771,1971-12-16,2016-12-31
775,1948-01-04,2016-12-31
780,1948-02-04,2016-12-31
781,1965-07-26,2016-12-31
790,1920-01-01,2016-12-31
800,1887-01-01,2016-12-31
811,1953-11-09,2016-12-31
812,1953-10-23,2016-12-31
816,1954-07-21,2016-12-31
817,1954-06-04,1975-04-30
820,1957-08-31,2016-12-31
830,1965-08-09,2016-12-31
835,1984-01-01,2016-12-31
840,1946-07-04,2016-12-31
850,1949-12-27,2016-12-31
860,2002-09-27,2016-12-31
900,1920-01-10,2016-12-31
910,1975-09-16,2016-12-31
920,1920-01-10,2016-12-31
935,1981-09-15,2016-12-31
940,1978-07-07,2016-12-31
946,1999-09-14,2016-12-31
947,2000-09-05,2016-12-31
950,1970-10-10,2016-12-31
955,1999-09-14,2016-12-31
970,1999-09-14,2016-12-31
983,1991-09-17,2016-12-31
986,1994-12-15,2016-12-31
987,1991-09-17,2016-12-31
990,1976-12-15,2016-12-31
